48;Chi dice donna, dice danno;Who says woman says damage
49;Chi dorme non piglia pesci;Who sleeps doesn't take fishes
50;Chi ha tempo non aspetti tempo;Who has time shouldn't wait time
51;Chi la fa l'aspetti;Who does it, waits for it
52;Chi lascia la via vecchia per la nuova, sa quel che perde ma non sa quel che trova;He who leaves the old way for the new one, knows what's lost but not what he'll find
53;Chi mena per primo, mena due volte;Who starts the fight, fights twice
54;Chi mostra vende;He who shows, sells
55;Chi nasce tondo non può morir quadrato;Who is born round can't die squared
56;Chi non intende la propria scrittura è un asino di natura;He who doesn't understand its own writing is a plain donkey
57;Chi non muore si rivede;Who doesn't die, comes back
58;Chi parla poco, dice tanto;Who talks less, says a lot
59;Chi presto parla, poco sa;Who soon speaks, little knows
60;Chi ruba poco va in galera, chi ruba tanto fa carriera;Who steals a bit goes to jail, who steals a lot has a good career
61;Chi si contenta gode;Those who are satisfied will enjoy
62;Chi si è scottato con l'acqua calda ha paura anche dell'acqua fredda;Who was burned by hot water is also scared of cold water
63;Chi troppo vuole, nulla stringe;Who wants too much, nothing holds
64;Chi va con lo zoppo impara a zoppicare;Who goes with the lame, learns to limp
65;Chiodo scaccia chiodo;Nail drives away nail
66;Col fuoco, con la donna e con il mare, c'è poco da scherzare;With fire, with woman and with sea, there's not much to joke
67;Con i se e con i ma la storia non si fa;With if and but, you don't make history
68;Con le buone maniere si ottiene tutto;With good manners you can obtain everything
69;Con le mani di un'altro è facile toccare il fuoco;It's easy to touch fire with the hand of someone else
70;Tutti gay con il culo degli altri;Everyone's gay with the ass of someone else
71;Cosa bella e mortal passa e non dura;Nice and mortal thing, passes and doesn't last
72;Da cosa nasce cosa;From thing was born a thing
73;Da ospedale e cimitero si esce sempre più sincero;From hospital and cemetery you always walk out more sincere
74;Dare carta bianca;To give white paper
75;Dare corda;To give rope
76;Dare corpo alle ombre;Give body to shadows
77;Date a cesare quel che è di cesare e a dio quel che è di dio;Give to Caesar what belongs to Caesar and to God what belongs to God
78;Del senno di poi son piene le fosse;With the thoughts of later the pits are full
79;Di buone intenzioni è lastricato l'inferno;With good intentions hell is paved
80;Dimmi con chi vai e ti dirò chi sei;Tell me who you go with and I'll tell you who you are
81;Pane al pane e vino al vino;Bread to bread, wine to wine
82;Disgrazia e osteria fanno la stessa via;Disgrace and tavern are in the same lane
83;Donna nana, tutta tana;Small woman all den
84;Dormire come un ghiro;To sleep like a dormouse
85;Dormire sugli allori;To sleep on the laurels
86;Dove ci son donne innamorate è inutile tener porte serrate;Where there are women in love it's pointless to keep the doors locked
87;È ladro chi ruba e chi gli tiene il sacco;Thief is who steal and who holds his bag
88;Meglio un uovo oggi che una gallina domani;Better an egg today than a chicken tomorrow
89;Cercare l'ago nel pagliaio;To look for a needle in a hay
90;Come i cavoli a merenda;Like cabbage as a snack
91;Epifania, tutte le feste le porta via;Epiphany takes away every feast
92;Eppur si muove;So it moves
93;Errare è umano, perseverare è diabolico;To mistake is human, to persevere is diabolic
94;Essere all'acqua di rose;To be rose water flavoured
95;Essere come la tela di penelope;To be like Penelope's canvas
96;Essere di maniche larghe;To have large sleeves
97;Essere in alto mare;To be offshore, far at sea
98;Essere in una botte di ferro;To be in a metal barrel
99;Essere l'ultima ruota del carro;To be the last wheel of the wagon
100;Essere la pecora nera;To be the black sheep
101;Uno specchio per le allodole;A mirror for the larks
102;Nell'occhio del ciclone;In the eye of the cyclone
103;Un fuoco di paglia;A fire made of straw
104;Essere una mezza cartuccia;To be half a cartridge
105;Essere una mosca bianca;To be a white fly
106;Scarica barili;Drop barrels
107;Fare a tira e molla;The pull and push way
108;Fare di ogni erba un fascio;To make every straw a beam
109;Fare il bastian contrario;To behave like Bastian Contrary
110;Fare il tirapiedi;To be the throw-feet
111;Fare orecchie da mercante;To have merchant ears
112;Fare pelo e contropelo;To do hair and against-hair
113;Fare un tiro mancino;To do a left-handed shot
114;Fare una cosa di punto in bianco;To do something by dot in white
115;Fare uno strappo alla regola;To do a strain to the rule
116;Fasciarsi la testa prima di averla rotta;To bandage head before having it broken
117;Fatta la legge, trovato l'inganno;Wrote the law, found the deception
118;Fidarsi è bene non fidarsi è meglio;To trust is good, to don't trust is better
119;Finché c'è vita, c'è speranza;While there's life, there's hope
120;Finire a tarallucci e vino;It will end with tarallucci and wine
121;Finire in una bolla di sapone;To end up in a soap bubble
122;Fra due litiganti il terzo gode;Between the two disputants, the third enjoys
123;Fra due mali, bisogna scegliere il minore;Between two evil, choose the lesser
124;Frutto proibito, frutto saporito;Prohibited fruit, tasty fruit
125;Fumare come un turco;To smoke like a turkish
126;Gallina che canta ha fatto l'uovo;Singing chicken made the egg
127;da prendere con le molle;To be taken with springs
128;Gente trista, nominata e vista;Sad people, named and seen
129;Gli amici bisogna pesarli dai fatti, non dalle parole;Friends have to be weighted by actions not words
130;Gli errori dei dottori li ricopre la terra;The errors of doctors are covered by the ground
131;Gobba a levante, luna calante, gobba a ponente, luna crescente;Hump facing levant, falling moon, hump facing ponent, growing moon
132;Guai ai vinti!;Troubles to the vanquished!
133;Guerra, peste e carestia, vanno sempre in compagnia;War, plague and famine, always go together
134;I delitti possono rimanere impuniti, ma non possono lasciare tranquillo chi li ha commessi;Crimes can stay unpunished but they can't let being quiet who made them
135;I fatti della pentola li sa il coperchio;Facts of the pan are known by the lid
136;I panni sporchi si lavano in famiglia;Dirty clothes are washed within family
137;I parenti sono come le scarpe, più son stretti più fanno male;Relatives are like shoes, the closer the more they hurt
138;I pifferi di montagna andarono per suonar e furono suonati;The mountain's fifes went for a play and they were played
139;Il buon giorno si vede dal mattino;You recognise a nice day from the morning
140;Il calzolaio non giudichi oltre la scarpa;Shoemaker shouldn't judge over shoes
141;Il dado è tratto;The dice is rolling
142;Chi si fa i cazzi suoi, campa cent'anni;Who mind his own dicks, lives one hundred years
143;Il dentista mangia coi denti degli altri;The dentist eats with teeth of other
144;Il diavolo fa le pentole ma non i coperchi;The devil makes pans but not lids
145;Il difficile sta nel cominciare;The difficult is in the beginning
146;Il fine giustifica i mezzi;the end justifies the means
147;Il fiore all'occhiello;The flower to the eyelet
148;Il gatto è bramoso di pesci, ma non vuol bagnarsi le zampe per prenderli;Cat craves for fishes but doesn't wanna soak his legs to catch them
149;Il giovane ozioso sarà un vecchio bisognoso;The young otiose will be an old needy
150;Il lupo nella favola;The wolf in the fable
151;Il lupo perde il pelo ma non il vizio;Wolf loses its hair but not the vice
152;Il mattino ha l'oro in bocca;The morning has gold in his mouth
153;Il medico pietoso fa la piaga puzzolente;The pitiful doctor makes the sore smelly
154;Il miglior companatico è la fame;The best pottage is hunger
155;Il miglior rimedio per la collera è il ritardo;The best remedy for anger is the delay
156;Il miglior specchio è un amico vecchio;The best mirror is an old friend
157;Il mio regno per un cavallo!;My kingdom for a horse!
158;Il mondo è fatto a scale, c'è chi scende e c'è chi sale;The world is made of stairs, someone rises and someone drops
159;Il peggior sordo è quello che non vuole sentire;The worst deaf is the one who doesn't want to listen
160;Il più conosce il meno;The most knows the least
161;Il riso abbonda sulla bocca degli stolti;There's a lot of smile on the mouth of the fools
162;Il silenzio è d'oro;Silence is gold
163;Il silenzio, spesso, è una predica eloquente;Quite often silence is an eloquent preach
164;Il sonno della ragione genera mostri;The sleep of reason generates monsters
165;Il tempo delle vacche magre e grasse;The time of fat and thin cows
166;Il tempo è danaro;Time is money
167;Il tempo è un grande maestro che regola molte cose;Time is a great teacher which organises many things
168;Il torto non sta mai da una parte sola;The fault never lays on one side
169;Il troppo stroppia;The too much cripples
170;Il vino buono si vende senza frasca;Good wine sells withouth bough
171;Il vino fa buon sangue;Wine makes good blood
172;Il vino rende lieti e fa svelar i segreti;Wine makes you glad and reveal secrets.
173;Impara l'arte e mettila da parte;Learn art and put it on the side
174;In amore e in guerra tutto è lecito;In love and war everything's licit
175;In bocca chiusa non entrano le mosche;In shutted mouth, flies don't fly
176;In casa di galantuomo nasce prima la femmina e poi l'uomo;In the gentleman's house the female borns first and then the man
177;In paradiso non si va in carrozza;You don't on to heaven on a fiacre
178;In un'ora Dio lavora;In an hour God works
179;Indorare la pillola;To gild the pill
180;Ingoiare il rospo;To swallow the toad
181;Insaccare la nebbia;To sack the fog
182;L'abito non fa il monaco;The dress doesn't make the monk
183;L'accidente gira e gira e va addosso a chi lo tira;The accident, goes round and round and goes to he who throws it
184;L'acqua vuol pendenza il mare vuol pazienza;Wanter wants slope, sea wants patience
185;L'aiuto va dato con i fatti, non con le parole;Help has to be given with facts, not with words
186;L'albero si riconosce dai frutti;You recognise the tree from its fruits
187;L'amico certo lo conosci nell'incerto;You meet the sure friend in the uncertain
188;L'amico vero si conosce nell'avversa fortuna;You meet the real friend in adversary luck
189;L'amore e la tosse non si possono nascondere;Love and cough can't be hidden
190;L'amore per il denaro cresce col crescere di esso;Love for money grows with its growing
191;L'apparenza inganna;Appearences are deceiving
192;L'appetito vien mangiando;Appetite comes from eating
193;L'avaro è come il porco, è buono quando è morto;The greedy is like the pig, it's nice when it's dead
194;L'erba cattiva non muore mai;Bad grass never dies
195;L'erba voglio non cresce neppure nel giardino dei r;The 'I want' grass doesn't even grows in the king's garden
196;L'estate di San Martino dura tre giorni e un pochino;St. Martin's summer lasts three days and a little bit
197;L'Italia è un'espressione geografica;Italy is a geographical expression
198;L'occasione fa l'uomo ladro;The occasion turns the man into a thief
199;L'occhio è lo specchio dell'anima;Eys is the mirror of soul
200;L'ospite è come il pesce: dopo tre giorni puzza;The guest is like fish: after three days it smells
201;L'ozio è il padre dei vizi;Laziness is father of all vices
202;L'unione fa la forza;It's the union which makes the strenght
203;L'uomo crede vero tutto quello che desidera;Man believs everything he desire to be true
204;L'uomo è lupo per l'altro uomo;Main is wolf to the other man
205;L'uovo benedetto è buono anche dopo pasqua;The blessed egg is good even after Easter
206;L'uovo di Colombo;Columbus's egg
207;La bugia ha le gambe corte;Lies have short legs
208;La commedia è finita;Comedy is over
209;La donna ne sa più del diavolo;Women knows one more than the devil
210;La donna, prima tutto miele, poi tutto fiele;Woman, first all honey, then all gall
211;La fame è il meglio cuoco che ci sia;Hunger is the best chef that you'll ever find
212;La fame leva il lupo dal bosco;Hunger raise the wolf out of the woods
213;La fame è il miglior condimento;Hunger is the best seasoning
214;La farina del diavolo finisce in crusca;Devil's flour end up in bran
215;La fortuna aiuta i coraggiosi;Luck helps the braves
216;La fretta è cattiva consigliera;The hurry is a bad adviser
217;La gatta frettolosa fece i gattini ciechi;The hasty cat made blind puppies
218;La goccia scava la pietra;The drop dig the rock
219;La lingua batte dove duole il dente;Tongue hits where the teeth hurts
220;La mente si deve formare col leggere intensamente, non leggendo molte cose;Mind has to be formed by reading intensely, not by reading many things
221;La miglior vendetta è il perdono;The best revenge is forgiveness
222;La montagna che partorisce un topolino;The mountain which gives birth to a baby mouse
223;La necessità aguzza l'ingegno;Necessity sharpens intelligence
224;La neve marzolina dura dalla sera alla mattina;The snow in march lasts from evening till morning
225;La notte porta consiglio;Night brings advise
226;La paura fa novanta;Fear makes ninety
227;La pazienza fa più leggero quello che non si può rimediare;Patience makes lighter what can't be repaired
228;La pazienza se a piedi partirà in carrozza tornerà;Patience if it will leave on foot, it will be back on a fiacre
229;La poesia non dà da mangiare;Poetry doesn't give food
230;La pratica è maestra della vita;Practice is teacher of life
231;La prima si perdona, la seconda si bastona;The first you forgive, the second you beat with a rod
232;La promessa è un obbligo per l'uomo onesto;The promise is an obligation to the honest man
233;La prudenza non è mai troppa;Caution is never enough
234;La rabbia di oggi serbala a domani;Keep today's anger for tomorrow
235;La saggezza del passato non nutre l'affamato;Wisdom from the past doesn't feed the hunger
236;La spada di damocle;Damocle's sword
237;La speranza è l'ultima a morire;Hope is last to die
238;La storia è maestra di vita;History is teacher of life
239;La superbia andò a cavallo e tornò a piedi;Pride went horseback and came back on foot
240;La superbia è figlia dell'ignoranza;Pride is son of ignorance
241;La vita non consiste nel vivere ma nello stare bene;Life it's not about living but feeling well
242;La vite che germoglia in aprile mette poco vino nel barile;The grapevine which sprouts in april puts little wine in the barrel
243;La volpe che non arriva al lardo dice che è rancido;The fox which can't reach the lard says it's rancid
244;Lacrime d'erede è matto chi ci crede;Tears of heir, fool he who believes it
245;Lava cane, pettina cane, sempre di cane puzza;Wash dog, comb dog, it stinks of dog anyway
246;Le briglie d'oro non fanno migliore il cavallo;Golden bridles don't improve the horse
247;Le chiacchiere non fanno farina;Small talks don't make flour
248;Le cose lunghe diventano serpi;Long things become snakes
249;Le parole vane durano quanto i cerchi sull'acqua;Vain words last as much as circles on the water
250;Le passioni sono i soli avvocati che persuadono sempre;Passions are the only lawyers who always persuade
251;Le teste di legno fan sempre del chiasso;Wooden heads always make some noise
252;Le uova non hanno nulla da insegnare alla gallina;Eggs don't have anything to teach to the hen
253;Legarsela al dito;To tie it to the finger
254;Lodiamo gli antichi, ma viviamo la vita dei nostri tempi;We praise the ancients, but we live life in our times
255;Lontano dagli occhi lontano dal cuore;Far from the eyes, far from the heart
256;Maggio ortolano, tanta paglia e poco grano;May greengrocer, lots of straw and not much wheat
257;Mai tardò chi venne;Never was late, he who came
258;Mal comune, mezzo gaudio;Common bad, half joy
259;Mandare da erode a pilato;From Erode to Pilato
260;Mangiando vinciamo la fame: imparando, l'ignoranza;By eating we win hunger: learning, we win ignorance
261;Marzo pazzerello esce il sole, prendi l'ombrello;March little fool, sun comes out, take the umbrella
262;Meglio abbondare che trovarsi in scarsezza;Better to abound than to be in scarcity
263;Meglio che nulla, marito vecchio;Old husband, better than nothing
264;Meglio fìdarsi degli occhi che degli orecchi;Better to trust eyes than ears
265;Meglio soli che male accompagnati;Better alone than in bad company
266;Meglio tardi che mai;Better late than never
267;Meglio un asino vivo che un dottore morto;Better an alive donkey than a dead doctor
268;Menar il can per l'aia;Lead to dog around the farmyard
269;Mente sana in corpo sano;Healthy mind in healthy body
270;Mettere il carro avanti ai buoi;To put the cart in front of the oxen
271;Mettere una pulce nell'orecchio;To put a flea in the ear
272;Mi sento come le scarpe piene di piedi;I feel like shoes full of feet
273;Moglie e buoi dei paesi tuoi;Wife and oxen from your country
274;Morto un papa se ne fa un altro;When the pope dies, another one goes up
275;Muro contro muro;Wall against wall
276;Muto come un pesce;Mute as a fish
277;Nato con la camicia;Born with the shirt
278;Ne ammazza più la gola che la spada;Gluttony kills more than sword
279;Nel fiume che grida puoi passare sicuro;You can safely cross the screaming river
280;Nel paese dei ciechi anche un guercio è re;In the blind's world, even a squinter is king
281;Nel pollaio non c'è pace se canta la gallina e il gallo tace;In the hen-house there's no peace if the hen sings and the cock keep silent
282;Nero con nero non tinge;Black with black doesn't dye
283;Nessun veliero equivale a un libro per trasportare in terre lontane;No sailer can be equivalent to a book to transport to far lands
284;Nessuna da solo sa mai abbastanza;Nobody alone ever knows enough
285;Nessuna legge è comoda ugualmente per tutti;Any law is comfortable equally for everyone
286;Nessuno è tanto vecchio che non creda di poter vivere ancora un'anno;Nobody is so old that can't believe to be living for another year
287;Nessuno può essere punito per il pensiero;Nobody can be punished for the thought
288;Nessuno può servire a due padroni;Nobody can serve two masters
289;Nessuno è sfortunato come l'agnello: o è cornuto, o è castrato o è scannato;Nobody is unlucky as the lamp: either it's horned, or castrated or slaughtered
290;Chi non ha testa metta gambe;Who hasn't head, uses legs
